Resolution,Similarity,Time
1,1,3.5445899963378906
2,0.44992423094408246,1.8572065830230713
5,0.07315761758266123,2.022132635116577
10,0.2932172135700162,2.4905407428741455
1,1,4.023818016052246
2,0.8535967534925234,2.356281280517578
5,0.6178149687582934,1.8828065395355225
10,0.30666676857826236,2.1173298358917236
1,1,3.674644708633423
2,0.7014219733016261,2.2094836235046387
5,0.3679300474731416,1.9904499053955078
10,0.19883890672718027,2.225343942642212
1,1,3.938188076019287
2,0.24995790608004578,2.3949086666107178
5,2.8962447098923637e-4,2.0020911693573
10,1.608395102766195e-4,2.194847345352173
1,1,4.17995285987854
2,0.24995790608004578,2.5510377883911133
5,0.03996817699651462,2.326406717300415
10,0.00997204963715041,2.313774585723877
1,1,4.231964826583862
2,0.7713258361770454,2.674668550491333
5,0.4974067110870295,2.349600315093994
10,0.3323659194384882,2.350801944732666
1,1,4.235365629196167
2,0.24995790608004578,2.593623161315918
5,0.03996817699651462,2.3966572284698486
10,0.00997204963715041,2.3743953704833984
1,1,4.251641750335693
2,0.72438546530386,2.648578405380249
5,0.48125398960958155,2.467350482940674
10,0.036351560716805835,2.510073184967041
1,1,3.991438388824463
2,0.24995790608004578,2.5845794677734375
5,0.03996817699651462,2.3640847206115723
10,0.00997204963715041,2.34527850151062
1,1,3.8555917739868164
2,0.24995790608004578,2.495021343231201
5,0.03996817699651462,2.208817958831787
10,0.00997204963715041,2.204812526702881
1,1,3.6817924976348877
2,0.8656755642060633,2.051649808883667
5,0.5898529347066271,1.710359811782837
10,0.3482605121371231,2.122338056564331
1,1,3.991278648376465
2,0.7335622657587809,2.6828508377075195
5,0.35717651457602856,2.473506212234497
10,0.19529937535338524,2.4682111740112305
1,1,3.957019090652466
2,0.24995790608004578,2.703392505645752
5,0.03996817699651462,2.5034079551696777
10,0.00997204963715041,2.4746482372283936
1,1,3.8263823986053467
2,0.24995790608004578,2.7139439582824707
5,2.1147183596039482e-4,2.483381509780884
10,7.612251631412527e-5,2.378815174102783
1,1,3.7519524097442627
2,0.6740785074276426,2.6670401096343994
5,0.4034230272339561,2.542116641998291
10,0.3006678271910148,2.328834295272827
1,1,3.8874049186706543
2,0.24995790608004578,2.703749895095825
5,0.03996817699651462,2.5069689750671387
10,0.00997204963715041,2.5264034271240234
1,1,3.3647162914276123
2,8.92706807428735e-4,2.6674389839172363
5,2.4223137573645227e-4,2.4957027435302734
10,6.830170984349595e-5,2.2536685466766357
1,1,3.45406174659729
2,0.6068206196202871,2.5357723236083984
5,0.2969500065495286,2.103569269180298
10,0.17581691135022154,1.8718175888061523
1,1,3.7606723308563232
2,0.8531025018151247,2.660168170928955
5,0.4291618437781783,2.4246771335601807
10,0.22267969248740002,2.5025453567504883
1,1,3.412008285522461
2,0.24995790608004578,2.361746311187744
5,0.03996817699651462,2.1689493656158447
10,0.00997204963715041,1.9303326606750488
1,1,3.5627548694610596
2,0.24995790608004578,2.424424409866333
5,0.03996817699651462,2.4571523666381836
10,0.00997204963715041,2.3939859867095947
1,1,3.546921491622925
2,0.6938510552836246,2.3471875190734863
5,0.004988019380635994,2.342747449874878
10,0.019992082743410196,2.4481186866760254
1,1,3.5183069705963135
2,0.24995790608004578,2.3865034580230713
5,0.03996817699651462,2.4289159774780273
10,0.00997204963715041,2.4737563133239746
1,1,3.2302563190460205
2,0.7874182263126694,2.2966926097869873
5,0.5895382207856045,2.3703229427337646
10,0.4835124453715465,2.4194467067718506
1,1,3.2936899662017822
2,0.24995790608004578,2.463491678237915
5,0.03996817699651462,2.2587242126464844
10,0.00997204963715041,2.358651876449585
1,1,3.275815486907959
2,0.7243627193040617,2.6384520530700684
5,0.4137190415122892,2.473032236099243
10,0.27636935539340113,2.4234063625335693
1,1,3.27681040763855
2,0.515223311834761,2.318168878555298
5,0.10238476168953023,2.18800950050354
10,0.03771353405075049,2.2642505168914795
1,1,3.4916393756866455
2,0.6310524873389477,2.6683266162872314
5,0.2098518894674686,2.385497808456421
10,0.08386827156837443,2.3396029472351074
1,1,3.3715858459472656
2,0.8450654039254223,2.5786476135253906
5,0.7048265263347386,2.3586583137512207
10,0.6184533708935835,2.3469228744506836
1,1,3.3533995151519775
2,8.507757184480796e-5,2.48441743850708
5,4.964990931244053e-5,2.2384541034698486
10,2.3686578710571045e-5,2.287437677383423
1,1,3.423705577850342
2,0.7844068125665886,2.365381956100464
5,0.478259728400124,2.4095423221588135
10,0.270071427155251,2.336618423461914
1,1,3.518656015396118
2,0.7799887727624862,2.159050464630127
5,0.5311268348287665,2.0143730640411377
10,0.30063422185898775,2.285592555999756
1,1,3.2112433910369873
2,0.7385804393509787,2.699730634689331
5,0.3240395176328996,2.4007270336151123
10,0.1569397972306613,2.409722328186035
1,1,3.3730528354644775
2,0.8328990509552332,2.449646234512329
5,0.0037845870841431164,2.0065648555755615
10,0.015168701715465973,2.0617172718048096
1,1,3.2302446365356445
2,0.24995790608004578,2.7439987659454346
5,0.03996817699651462,2.4240920543670654
10,0.00997204963715041,2.4479315280914307
1,1,3.452873706817627
2,0.24995790608004578,2.63657283782959
5,0.03996817699651462,2.4838104248046875
10,0.00997204963715041,2.461358070373535
1,1,3.1053483486175537
2,0.6863264020129544,2.067862033843994
5,0.3597942552834581,2.048520088195801
10,0.19049390752252424,2.1471047401428223
1,1,2.6986823081970215
2,0.6024573985416255,2.2924139499664307
5,0.2791739606168494,2.072406768798828
10,0.16358267115233643,2.150221586227417
1,1,3.042128562927246
2,0.8112069315449849,2.341500997543335
5,0.47657968585428767,2.33909273147583
10,0.30820731539126767,2.393949031829834
1,1,3.37215518951416
2,0.24995790608004578,2.2123074531555176
5,0.03996817699651462,2.063922882080078
10,0.00997204963715041,2.1085448265075684
1,1,3.479918956756592
2,0.8422198049905463,2.483778476715088
5,0.019631007158232554,2.408557891845703
10,0.07872547916640112,2.440979480743408
1,1,3.420203447341919
2,0.9361652683421791,2.4641923904418945
5,0.6974446885891801,2.3744819164276123
10,0.326272999065515,2.436068058013916
1,1,3.131840467453003
2,0.24995790608004578,2.11757493019104
5,0.03996817699651462,2.071721076965332
10,0.00997204963715041,2.0288095474243164
1,1,3.4928438663482666
2,0.7446986063130143,2.3637421131134033
5,0.4390397457861415,2.372103691101074
10,0.25175051627823575,2.5226829051971436
1,1,3.3496499061584473
2,0.24995790608004578,2.4524166584014893
5,0.03996817699651462,2.050664186477661
10,0.00997204963715041,2.2317111492156982
1,1,3.2483043670654297
2,0.25002175668292775,2.58097767829895
5,0.039898130375713735,2.385038375854492
10,0.009937969279563705,2.4214377403259277
1,1,3.3950154781341553
2,0.24995790608004578,2.396339178085327
5,0.03996817699651462,2.2343525886535645
10,0.00997204963715041,2.2661776542663574
1,1,3.2891173362731934
2,0.8325837383507192,2.5095906257629395
5,0.4987809485455455,2.3321025371551514
10,0.055038576861111715,2.331233501434326
1,1,3.3430323600769043
2,0.7101031683467331,2.495034694671631
5,0.4125039307935079,2.299764394760132
10,0.2023306207628643,2.3402438163757324
1,1,3.3510773181915283
2,0.7754654814152332,2.430939197540283
5,0.4604667058140123,2.3599133491516113
10,0.1470544919825114,2.289980411529541
1,1,3.610180139541626
2,0.6726885379414836,2.498446464538574
5,0.39468796402664924,2.4244656562805176
10,0.2705050101612876,2.3511409759521484
1,1,3.2456588745117188
2,0.8514541964916066,2.470381498336792
5,0.7372097257138781,2.353788137435913
10,0.708397556764079,2.439579486846924
1,1,3.237213373184204
2,0.24995790608004578,2.542456865310669
5,0.03996817699651462,2.362879514694214
10,0.00997204963715041,2.3045358657836914
1,1,2.9127299785614014
2,0.24995790608004578,2.266277551651001
5,0.03996817699651462,2.3253366947174072
10,0.00997204963715041,2.4043993949890137
1,1,3.315706729888916
2,0.7184743619377335,2.5607821941375732
5,0.28418051271250655,2.117422103881836
10,0.14940267224230705,1.996267318725586
1,1,3.2373054027557373
2,0.677453654825331,2.3527956008911133
5,0.4046982956004817,2.3113925457000732
10,0.22400794659113218,2.448570728302002
1,1,3.1456103324890137
2,0.7190272988206386,2.106513738632202
5,0.4904336527106392,1.9353203773498535
10,0.37457585734778925,1.9858386516571045
1,1,3.4045517444610596
2,0.0027426852663967874,2.4901297092437744
